household_type,income_group,year,means_tested_transfers,medicaid_and_chip,snap,ssi,other_transfers
all_households,middle_quintile,1992,1.3,0.6,0.2,0.2,0.3
all_households,middle_quintile,1993,1.5,0.7,0.2,0.3,0.3
all_households,middle_quintile,1994,1.5,0.8,0.2,0.2,0.3
all_households,middle_quintile,1995,1.6,0.8,0.2,0.2,0.3
all_households,middle_quintile,1996,1.4,0.8,0.1,0.2,0.3
all_households,middle_quintile,1997,1.4,0.8,0.1,0.2,0.2
all_households,middle_quintile,1998,1.4,0.9,0.1,0.2,0.2
all_households,middle_quintile,1999,1.6,1.1,0.1,0.2,0.2
all_households,middle_quintile,2000,1.6,1.2,0.1,0.2,0.2
all_households,middle_quintile,2001,1.8,1.4,0.1,0.2,0.2
all_households,middle_quintile,2002,2.3,1.7,0.1,0.3,0.2
all_households,middle_quintile,2003,2.5,2.0,0.1,0.2,0.2
all_households,middle_quintile,2004,2.6,2.0,0.1,0.3,0.2
all_households,middle_quintile,2005,2.5,2.0,0.1,0.2,0.2
all_households,middle_quintile,2006,2.4,1.8,0.1,0.2,0.2
all_households,middle_quintile,2007,2.5,1.9,0.1,0.3,0.2
all_households,middle_quintile,2008,2.8,2.1,0.2,0.3,0.2
all_households,middle_quintile,2009,3.5,2.6,0.3,0.3,0.3
all_households,middle_quintile,2010,3.6,2.6,0.4,0.3,0.3
all_households,middle_quintile,2011,3.8,2.7,0.4,0.3,0.3
all_households,middle_quintile,2012,3.7,2.6,0.4,0.3,0.3
all_households,middle_quintile,2013,3.7,2.7,0.4,0.3,0.3
all_households,middle_quintile,2014,4.5,3.5,0.3,0.3,0.3
all_households,middle_quintile,2015,5.0,4.0,0.3,0.3,0.4
all_households,middle_quintile,2016,5.1,4.1,0.3,0.3,0.4
all_households,middle_quintile,2017,5.2,4.3,0.3,0.3,0.4
all_households,fourth_quintile,1979,0.3,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1980,0.3,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1981,0.3,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1982,0.2,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1983,0.2,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1984,0.3,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1985,0.2,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1986,0.2,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1987,0.3,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1988,0.2,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1989,0.3,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1990,0.3,0.1,0.0,0.1,0.1
all_households,fourth_quintile,1991,0.4,0.2,0.0,0.1,0.1
all_households,fourth_quintile,1992,0.5,0.2,0.0,0.1,0.1
all_households,fourth_quintile,1993,0.5,0.2,0.0,0.1,0.1
all_households,fourth_quintile,1994,0.5,0.3,0.0,0.1,0.1
all_households,fourth_quintile,1995,0.5,0.3,0.0,0.1,0.1
all_households,fourth_quintile,1996,0.5,0.3,0.0,0.1,0.1
all_households,fourth_quintile,1997,0.5,0.3,0.0,0.1,0.1
all_households,fourth_quintile,1998,0.5,0.3,0.0,0.1,0.1
all_households,fourth_quintile,1999,0.5,0.4,0.0,0.1,0.0
all_households,fourth_quintile,2000,0.6,0.4,0.0,0.1,0.1
all_households,fourth_quintile,2001,0.6,0.4,0.0,0.1,0.0
all_households,fourth_quintile,2002,0.7,0.5,0.0,0.1,0.1
all_households,fourth_quintile,2003,0.8,0.6,0.0,0.1,0.1
all_households,fourth_quintile,2004,0.8,0.6,0.0,0.1,0.1
all_households,fourth_quintile,2005,0.8,0.6,0.0,0.1,0.0
all_households,fourth_quintile,2006,0.8,0.6,0.0,0.1,0.1
all_households,fourth_quintile,2007,0.8,0.6,0.0,0.1,0.1
all_households,fourth_quintile,2008,0.9,0.7,0.0,0.1,0.1
all_households,fourth_quintile,2009,1.1,0.8,0.1,0.1,0.1
all_households,fourth_quintile,2010,1.1,0.9,0.1,0.1,0.1
all_households,fourth_quintile,2011,1.1,0.8,0.1,0.1,0.1
all_households,fourth_quintile,2012,1.1,0.8,0.1,0.1,0.1
all_households,fourth_quintile,2013,1.0,0.8,0.1,0.1,0.1
all_households,fourth_quintile,2014,1.4,1.1,0.1,0.1,0.1
all_households,fourth_quintile,2015,1.5,1.2,0.1,0.1,0.1
all_households,fourth_quintile,2016,1.7,1.4,0.1,0.1,0.1
all_households,fourth_quintile,2017,1.6,1.3,0.1,0.1,0.1
all_households,highest_quintile,1979,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1980,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1981,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1982,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1983,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1984,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1985,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1986,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1987,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1988,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1989,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1990,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1991,0.1,0.0,0.0,0.0,0.0
all_households,highest_quintile,1992,0.1,0.1,0.0,0.0,0.0
all_households,highest_quintile,1993,0.1,0.1,0.0,0.0,0.0
all_households,highest_quintile,1994,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,1995,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,1996,0.1,0.1,0.0,0.0,0.0
all_households,highest_quintile,1997,0.1,0.1,0.0,0.0,0.0
all_households,highest_quintile,1998,0.1,0.1,0.0,0.0,0.0
all_households,highest_quintile,1999,0.1,0.1,0.0,0.0,0.0
all_households,highest_quintile,2000,0.1,0.1,0.0,0.0,0.0
all_households,highest_quintile,2001,0.1,0.1,0.0,0.0,0.0
all_households,highest_quintile,2002,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,2003,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,2004,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,2005,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,2006,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,2007,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,2008,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,2009,0.2,0.2,0.0,0.0,0.0
all_households,highest_quintile,2010,0.2,0.2,0.0,0.0,0.0
all_households,highest_quintile,2011,0.2,0.2,0.0,0.0,0.0
all_households,highest_quintile,2012,0.2,0.2,0.0,0.0,0.0
all_households,highest_quintile,2013,0.2,0.1,0.0,0.0,0.0
all_households,highest_quintile,2014,0.2,0.2,0.0,0.0,0.0
all_households,highest_quintile,2015,0.3,0.2,0.0,0.0,0.0
all_households,highest_quintile,2016,0.3,0.3,0.0,0.0,0.0
all_households,highest_quintile,2017,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_81_90,1979,0.1,0.0,0.0,0.0,0.1
all_households,percentiles_81_90,1980,0.1,0.0,0.0,0.0,0.1
all_households,percentiles_81_90,1981,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_81_90,1982,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_81_90,1983,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_81_90,1984,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_81_90,1985,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_81_90,1986,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_81_90,1987,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_81_90,1988,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_81_90,1989,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_81_90,1990,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_81_90,1991,0.2,0.1,0.0,0.0,0.1
all_households,percentiles_81_90,1992,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_81_90,1993,0.2,0.1,0.0,0.1,0.0
all_households,percentiles_81_90,1994,0.3,0.2,0.0,0.1,0.1
all_households,percentiles_81_90,1995,0.3,0.2,0.0,0.1,0.0
all_households,percentiles_81_90,1996,0.2,0.2,0.0,0.1,0.0
all_households,percentiles_81_90,1997,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_81_90,1998,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_81_90,1999,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_81_90,2000,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_81_90,2001,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_81_90,2002,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_81_90,2003,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_81_90,2004,0.4,0.3,0.0,0.1,0.0
all_households,percentiles_81_90,2005,0.4,0.3,0.0,0.0,0.0
all_households,percentiles_81_90,2006,0.4,0.3,0.0,0.1,0.0
all_households,percentiles_81_90,2007,0.4,0.3,0.0,0.1,0.0
all_households,percentiles_81_90,2008,0.4,0.3,0.0,0.0,0.0
all_households,percentiles_81_90,2009,0.4,0.4,0.0,0.0,0.0
all_households,percentiles_81_90,2010,0.4,0.3,0.0,0.0,0.0
all_households,percentiles_81_90,2011,0.4,0.3,0.0,0.0,0.0
all_households,percentiles_81_90,2012,0.4,0.3,0.0,0.1,0.0
all_households,percentiles_81_90,2013,0.4,0.3,0.0,0.0,0.0
all_households,percentiles_81_90,2014,0.5,0.4,0.0,0.0,0.0
all_households,percentiles_81_90,2015,0.6,0.5,0.0,0.0,0.0
all_households,percentiles_81_90,2016,0.7,0.6,0.0,0.0,0.1
all_households,percentiles_81_90,2017,0.6,0.5,0.0,0.0,0.0
all_households,percentiles_91_95,1979,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1980,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1981,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1982,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1983,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1984,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1985,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1986,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1987,0.0,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1988,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1989,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1990,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1991,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_91_95,1992,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,1993,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,1994,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,1995,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,1996,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,1997,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,1998,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,1999,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,2000,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,2001,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,2002,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,2003,0.2,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2004,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,2005,0.2,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2006,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_91_95,2007,0.2,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2008,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2009,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2010,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2011,0.2,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2012,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2013,0.2,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2014,0.3,0.2,0.0,0.0,0.0
all_households,percentiles_91_95,2015,0.4,0.3,0.0,0.0,0.0
all_households,percentiles_91_95,2016,0.4,0.3,0.0,0.0,0.0
all_households,percentiles_91_95,2017,0.3,0.3,0.0,0.0,0.0
all_households,percentiles_96_99,1979,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1980,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1981,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1982,0.0,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1983,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1984,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1985,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1986,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1987,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1988,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1989,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1990,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1991,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1992,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1993,0.1,0.0,0.0,0.0,0.0
all_households,percentiles_96_99,1994,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,1995,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,1996,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,1997,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,1998,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,1999,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2000,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2001,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2002,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2003,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2004,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2005,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2006,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2007,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2008,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2009,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2010,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2011,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2012,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2013,0.1,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2014,0.2,0.1,0.0,0.0,0.0
all_households,percentiles_96_99,2015,0.2,0.2,0.0,0.0,0.0
all_households,percentiles_96_99,2016,0.2,0.2,0.0,0.0,0.0
all_households,percentiles_96_99,2017,0.2,0.2,0.0,0.0,0.0
all_households,top_1_percent,1979,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1980,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1981,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1982,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1983,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1984,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1985,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1986,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1987,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1988,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1989,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1990,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1991,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1992,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1993,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1994,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1995,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1996,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1997,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1998,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,1999,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2000,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2001,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2002,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2003,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2004,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2005,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2006,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2007,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2008,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2009,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2010,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2011,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2012,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2013,0.0,0.0,0.0,0.0,0.0
all_households,top_1_percent,2014,0.1,0.0,0.0,0.0,0.0
all_households,top_1_percent,2015,0.1,0.0,0.0,0.0,0.0
all_households,top_1_percent,2016,0.1,0.0,0.0,0.0,0.0
all_households,top_1_percent,2017,0.1,0.1,0.0,0.0,0.0
hh_with_children,all_quintiles,1979,3.2,0.9,0.6,0.2,1.5
hh_with_children,all_quintiles,1980,3.6,0.9,0.8,0.3,1.6
hh_with_children,all_quintiles,1981,3.6,0.9,0.8,0.2,1.6
hh_with_children,all_quintiles,1982,3.7,0.9,0.8,0.3,1.7
hh_with_children,all_quintiles,1983,3.7,0.9,0.8,0.2,1.7
hh_with_children,all_quintiles,1984,3.4,0.9,0.7,0.2,1.6
hh_with_children,all_quintiles,1985,3.5,0.9,0.6,0.3,1.6
hh_with_children,all_quintiles,1986,3.3,0.9,0.6,0.2,1.5
hh_with_children,all_quintiles,1987,3.5,1.1,0.6,0.3,1.5
hh_with_children,all_quintiles,1988,3.4,1.1,0.6,0.3,1.5
